negative, hours on the phone yesterday really still doesn t pick up status on us air flight 
negative, i missed it set up in a hotel flights delayed in sfo for hours missing all the wedding festivities of my friend 
negative, you re right good you caught the mechanical failure too bad there are no blankets but ok 
negative, we re sitting in ua getting delayed because the operations can t find captain #ridiculous 
negative, they did on a delta flight out of lax which is why i should be compensated for my rental car there 
negative, worst experience ever all the way 
negative, fantastic night of waiting hours for a delayed airplaneonly for you to alert us flight is cancelled flighted when it lands #whatstatus 
negative, calling atam to tell me my flight has been rescheduled hours late flightr than it was supposed be to seems like a bad solution
negative, truly the worst day of flying i have ever experienced 
negative, very missed daughter suppose to dpt ord @ pm dpted pmchecked week s average for ua shameful day average pm
negative, that all aa is for usair elite members it s one big disappointment in the way we are treated #epicfailure
negative, not once did #us leave #ord on time this week #shameful
negative, stuck in houston because you can t seem to get a plane to the destination on time in perfect flying conditions 
negative, you phone customer service team is bad think it is time for me to consider switching airlines 
negative, is freaking worthless i hate this airline
negative, how much longer united been on the phone for over an hour to straighten out a star alliance upgrade
negative, why wont you find my luggage without blaming everyone else 
negative, it is cool your customer told me they didn t care either it is expected
negative, who do i need to talk to to get a full refund on my trip your call center offers no assistance 
negative, just curiouswhen are you going to to finally learn 
negative, how comes no one has answered my calls or emails 
negative, understanding the situation we waited and it was opened until pm
negative, i think we both have the same status nothing i think there was a bug in your search system 
negative, made me remove pound from my checked bag otherwise they would charge me loyal flier for years time for change 
negative, that would be appreciated just please don t send me to the same page with long formlimited characters direct email 
negative, this is the biggest joke of i ve ever seen from abrand
negative, it would be awfully nice if you could send an alert when my flight is cancelled flighted no textno emailno love 
negative, being delayed hours for a one hour flight is more than frustrating i m also unable to get a decent meal at this hour never again
negative, agent did help me my point there s a problemi don t want it to mess up somebody else s plans can u flow this to tech team pls 
negative, been sitting on this plane unreal when will my day nightmare end 
negative, our fligth somthing to talk about this 
negative, a rapid trip plane ticket from idaho to california that doesn t have problems would be wonderful
negative, can you let us out of the gate now ua 
negative, thanks took care of it issue was ivr was unclear and took too long to get a call back option would love to see that fixed 
negative, well as of yetour checked bag has already vanished and we haven t left the airport yet 
negative, i understand thatbut i m not even being put on hold it says try again late flightrgoodbye 
negative, on top of no free tv on the intl legnow im sitting on the tarmac in houston min past departure wanother hr plus to go 
negative, @robbogart after i waited hours in the airport being told one fib after the other why can t ual be honest with its customers 
negative, reallyhours@jenniferwalshpr we don t like delays and do all we can to avoid them we ll have you on your way asap
negative, i am so happy i found my phone because this is easily the worst system i have ever heard of
negative, dtv doesnt workpilots late flightwont let yr old fly next me and i paid an upgrade
negative, flt lax to ewr your pilot bragged about getting to ewr early only to wait min for a jetway driver thanks united 
negative, i do not need an apology i need you to fix it in a competent manner 
negative, i like the call back system but thought you d like to know it s not working well i received three calls but there s no audio 
negative, u kept passengers waiting all night a plane that was being put out of service leaving everyone stranded for night #inexcusable
negative, i need to be back home tomorrow and no one is helping me please help me rebook for a flight tomorrow 
negative, your loyalty team basically flipped me offphonebut thanks maybe google loyalty and get back to me lol 
negative, your staff at laguardia and lagosnigeria were unprofessionaluncaring and not helpful ou 
negative, filed a pir with an agent at indianapolis airport unable to pull up information online on your site have dmed details 
negative, tisk tisk rude flight attendants yet again i can t hang my suit up because i didn t buy first classwhen will i learn
negative, i would appreciate an answer on why we weren t alerted flight had been cancelled flighted until plane landed #showsomerespect
negative, wtf delay after delay hours yvr to san unacceptable flight crew availability is to blame never again with 
negative, i think i left my phone on my flight help 
negative, at lax and your service reps just hand out the number to call so that s not helpful 
negative, @nickcunninghamexcept now there is no wait timethe phone system just hangs up on you so continuing to hold won t help 
negative, extend rtn flight to bereavement i could have change fee droppednow told no worse day of my life
negative, unsmiling rep told us hotel shuttle comes like every minutes breezy min late flightr we re taking a cab you going to reimburse 
negative, i would like a supervisor to talk to now we are waiting for a flight attendant as one just walked offleft 
negative, rebooked hours after original flightto say your handling of situation was bad would be an understatement 
negative, if someone misses his connecting flight because of the airlineand it was the last flight of the dayhow will you fix it 
negative, i ve tried ten times now last night and this morning how many times should i try have meetings to make tonight in atx 
negative, yes i needed plenty of assistance but received none 
negative, not tonightwe got a hotel and after hrs of traveling and still not reaching our destination we are disappointed thanks 
negative, thank you for the reply i emailed your customer care department about my experience 
negative, is the difference between the booked flightsdo you want screen shots 
negative, how can i file a claim when your agents won t let me speak to a supervisor my claim number is expired because you won t find my bag
negative, cannot provide us alternative flight until hours late flightr ruining our trip #cancelled flightled #angry #problems #ruined 
negative, been on hold for for over two hours after waiting hours earlier can t get any info on my reservation how is that ok 
negative, i have still not talked to anyone you guys should be prepared for these situations how is this good service i am so mad 
negative, thanks formed submitted i m not betting someone would be honest enough to turn it in though 
negative, #horriblecustomerservice # rudestaff # incompetentmanagers
negative, here is my case id requested on now it s days i ll get a responsebs 
negative, they were empty upon takeoff why can t someone sit there 
negative, i had one interview i was the last person what does that mean 
negative, heyleft my computer bagw computer insidein unitedfiled online reportno response 
negative, i have flown with you times in the last days out of flights have been delayed huge mistake on my part don t fly united
negative, no i do not have them yet called for baggage status times yesterday 
negative, yes but taking two days to get bag delivered missed a full day skiing because of this 
negative, i understand you are busy but i have still gotten no answer i need to get home and you guys have not helped at all
negative, interested in possibly changing my flight to another day need to see if there are any fees but your number is busy
negative, @eleonoragood luck i ve been waiting a week
negative, thanks that was donei just don t understand why those whose bags couldn t fit aren t notified in air at landing #technology 
negative, @dmbshows i need this plane to get to buffalo so i can leave tonight any progress 
negative, time in a row i ve been over charged by s of on my plane ticket whyi shouldn t have to check my cc everytime
negative, wth be honest with your customers this better be the last change or we are driving home has our plane left or not 
negative, you re running hours behind replying to anyonetwitter this is beyond unacceptable i m running out of time 
negative, i believe just customer service at last post he was at narita in tokyo they sent him to a motel to rest said standby maybedays
negative, terribly disappointed confirmed reservation delayed and your cust service staff was not helpful in finding an alternate solution 
negative, no date on when revieving our money sent a letter in post and several emails no reply very frustrated
negative, husbandi complain about same flight he gets voucheri get nothing because he flew biz who do i email about this 
negative, flight rolling delay of hour minutes
negative, stranded in miami because your automated system keeps hanging up on me for two days help 
negative, is flight cancelled flighted or not no word from the ground staff 
negative, you just tried to charge for a flight when i tried to make a change over the phonenot including change fee wtf 
negative, @mwangbickler we apologize for your frustrationsmichael have you been rebookedgot call back after hours bad 
negative, i m trying to register since don t want to be separated from my brother during thehours flight there re few places left 
negative, trying to get thru to agent since last night b c aa changed our flight to days from now infuriating we need to get to sea 
negative, cleaning a regional jet takes an hour 
negative, i get that but doing it by giving inaccurate misleading info doesn t seem like a great way to do it #hopethegearmakesitintact
negative, i m familiar with the procedure it wouldn t be the first time lost one of my bags #unhappytraveler
negative, called last nightafter hrs got call backcan i get a one day pass to admirals club i m going to be spendinghrs in dfw 
negative, how can i get you guys to respond to my tweets andreally sad feeling to be ignored 
negative, why the hell do my miles expire was really looking forward to accruing enough for a free flight in years 
negative, i am still waiting for that call back stranded and no one to talk to
negative, times my flight has been delayed and i miss my next flight this time you ve lost my baggage no clean clothes flight thx 
negative, i was told my flights was cancelled flightled but i don t seem to have any date time changes i ve been waiting for a call 
negative, this is besides the fact that one week ago you delayed me by hours i am not impressed at all 
negative, trying to talk customer service to add lap child and can t get a hold of anybody i need help 
negative, i log inview reservationstry view specific reservationtakes me back to login page
negative, its my one and only checked bagwhich is checked to edinburghhowever i am being charged randomly from dc to newark 
negative, @active_aly thx we have already been on the iberia websiteand seat reservation is unavailable hopefully we can call them 
negative, why can i only apply one travel certificate per itinerary even when i have multiple flights 
negative, notsurehowever my ticket included one checked bagtherefore this charge was extra and completely unanticipated 
negative, with the purchase of my ticket i am entitled to check in bag however i am being charged an extra dollars for domestic transport
negative, pathetic answer just found out my bag has been sitting at lga for hours and no call from you to lmk or delivery of bag bad
negative, how is it possible that your call system can refuse callers for over twelve hours what service options does that leave 
negative, that may be true however after weeks matter is still unresolved and i can not get through to a supervisor or manager to help
negative, nice to know that hours of my time is worth free directtv for everyone ever hear of preventative maintenance 
negative, thank you mr parker for screwing over chairman preferred when we fly aa no #firstclass option and treated like crap by staff
negative, flight my frustration boiled over after dealing with attendant her attitude was ridiculous 
negative, you need to get it together of flights cancelled flightled stranded with no car and my baggage is lost you never get it right 
negative, even when i did get throughno one knew anything about my bag this is ridiculousi still don t have my bag from saturday 
negative, it s worth saying thatif you litter in singaporeyou get caned but there are rules says 
negative, once again i am victim to the scam that is your shit customer servicethis time the agent hung up on me wtf do you teach your staff 
negative, not sure why we are being made to stand in line outside for plane that isn t ready to board when i could be sitting inside
negative, @stocker my wife sarah stocker did also called but could not connect me to customer service
negative, i m fully awareit s just that your rules are harsh toward the client especially since you re going to resell my seat for more 
negative, boarded on timedeplanedand now minutes delay no transparency during can t wait to give up my gold status for aa 
negative, this is very disappointing this is about customer service 
negative, trying to reach him for the number at last they have him on standbye and gave him meal voucher for a potential day standbye 
negative, i can tell you your airline has lost mine and my families business this day and age message through twitter travels fast 
negative, why i won t check my carry on watched a handler throw this bagmiss the conveyer beltsat there min
negative, how is it tripitpro has accurate delayed dept times andhours late flightr i hear the same from you just curious
negative, help flight to dallas was cancelled flightled this morning from cle on hold for hours need to be booked on next flight out 
negative, why so i can waste more of time on this airline to get an automated message disappointing as always 
negative, did somebody say flight upgrade 
negative, that s the reply lol hoping that at least the new plane was maintained before the flight 
negative, me up in a hotel tonight and expect me to now pay even more money i don t have that money i was supposed to get a call back
negative, airlines abuse your expensive video equipment and overcharge you for the privilege@robthecameraman
negative, my flight to dallas and to sfo has been cancelled flighted and they can t get me on anything else until tomorrow you won t put
negative, this means within one week i will have filed compensation complaints to your website
negative, the new seats on the canadaair regional jets just plain suck 
negative, your website is a complete joke when using safari 
negative, i understand a bit of a waitbut i called at pm and didn t get a call back until just after pmthat s not cool 
negative, obviously no one knows a darn thing around here what are we to do if this does not get resolved
negative, this merger with @usairwis a cluster of inefficiency and misinformation when is it going to be done 
negative, i have never been so grossed out in my life what a disappointment yet again flying with you 
